platform,review_id,rating,title,review_text,author,date,helpful_count,vote_count,version,country,timestamp
iOS App Store,13098834138,5,This app holds a lot of value for me and my life,"I’ve been discovering a lot about myself lately and this app makes it so easy to remember them. I have a terrible memory due to trauma, and I’ve been trying to overcome a lot of of it being able to record moments memories and thoughts and realizations on a day today, especially with the prompts making it so much easier is an absolute game changer. I love having it as a widget. upgrading to the premium is well well well worth your money this app does stuff and collect data in a way that I would only dream of but no app could actually do. Every day I’m so scared that somehow it’s going to break and I’m going to lose all of it bcs of how much I love it. I can’t wait to look back at this for years to come. I didn’t do the best explaining why I love this app so much, but thank you to the creators.",Havwqeq,2025-09-04T11:45:55-07:00,0,0,2025.18,,1757011555
iOS App Store,13093996390,1,Yikes,"Been using this app forever but it’s really taken a turn for the worse with the new redesign. Don’t know why developers insist on making software nearly unusable.
- UPDATE: “will make sense over time” is exactly the sort of thing I’m talking about. When an app is already serving as a fantastic tool to efficiently get things done, making disruptive changes that users have to deal with “until it makes sense” is something people should be fired over. I have over thirteen years of data in this app and use it daily. It seems I’ll need to find an alternative. Or probably just stop keeping track of things because it’s no longer possible to rely on services to do the thing they initially promised to do. Paper and pencil, friends, is the only thing we can rely on.",oxjox,2025-09-03T06:32:56-07:00,0,0,2025.18,,1756906376
iOS App Store,13081099224,4,Love ... 1 more Ask,"I use this app almost daily . Love multi Journals, prompt reminders, the ability to do audio, vidéo. My mini social media that is just for me! 

More and more i use draw, the scribble does not seem to flow for me. 
So i find myself using the  draw feature as an alternative to scribble journaling, since handwriting recognition isn’t always accurate (multi langual). At times, correcting errors causes me to lose my train of thought, so I end up relying more on the draw option.

However, the current setup is limiting. it only allows drawing on one page at a time, and you have to close out a page before starting a new blank one. That extra step interrupts the creative flow.

Are there any roadmap plans to expand the draw option? For example:

- Making it an infinite canvas
- Allowing smoother continuation to the next page without exiting
- Adding the ability to edit drawing "" writing"" after the fact
- Pasting an image and write over it ect.. like  scratchbook


That make the journaling experience feel much more natural and seamless. For those of us who still want to have that wrting experience but on a device, ty.",LuvAmore,2025-08-30T22:31:23-07:00,0,0,2025.17,,1756618283
iOS App Store,13051936455,3,Handwriting options limited,"I have used this app since 2012. I love it and think it’s perfect in almost every way. However, I stopped using it several months ago when I got a new, large iPad. I’ve found handwriting in the native Notes app with the Apple Pencil Pro to be much more enjoyable. I particularly appreciate being able to hand write using a fountain pen mode. It feels like writing on paper. 

I realize I can use scribble mode in Day One, but it feels clunky dealing with it translating my handwriting into text and correcting the inevitable errors, which becomes irritating. It’s a nice option to have handwriting convert to text, it’s just that I’d rather hand write with the options I’m given in Apple Notes. If Day One were to add these options I’d switch back to it in an instant.",D. C.,2025-08-23T11:03:03-07:00,0,0,2025.17,,1755972183
iOS App Store,13045181691,5,My favorite app,"There are not many apps that hold as much value for me as Day One does. I have started journaling a long time ago. It is part of my life. I like writing by hand. Pen on paper is irreplaceable for me in many circumstances. For journaling, I ended up going digital. And my app has been Day One since it first came out. I can put my thoughts down so well in Day One and enrich it with media if I feel like it. I set up prompts that help me practice daily gratitude. And the app is always here. Never intrusive. Never “pushing” me in any direction. Simply helpful and well thought out. It has come a very long way through the years, and I trust the team will continue to support all of us who use it.",JOberhoferLomeli,2025-08-21T17:35:47-07:00,0,0,2025.17,,1755822947
iOS App Store,13035313785,5,A Great Journal App!,"I really like this app! One of the best things about it is that even the free option has a lot of great features: you can add one picture for free, per journal entry and write pretty much as much as you want in an entry (if there’s a limit I haven’t discovered it yet and I write a lot!). 

I have at least five journals started, including one to keep track of my medical journey. 

I do wish that you could add more pictures per entry, videos, and save audio clips, but I know that the company needs to be able to make money. These are definitely minor inconveniences, especially since there is an option to dictate. It’s not the same as being able to listen to what was said, but is a very handy feature that I appreciate. 

I had a different free journal with the option to save audio recordings and didn’t know that there was a limit to how much data you could save. Once I hit the limit, I could no longer use the app. 

I recently discovered that this journal app has an option to have the journals printed. Yea!!!! You are able to have it printed as a physical book as is or you can make some changes to the cover, etc. 

This option opens up a whole realm of possibilities like creating individual journals to give your children when they are older or even start writing that book you’ve always wanted to write. The pricing seems very reasonable as well. 

I highly recommend this app!",KarinaGrace,2025-08-19T06:20:49-07:00,0,0,2025.16,,1755609649
iOS App Store,13010790916,5,"Awesome, Easy to Use for Consistent Journaling","Highly recommend! I’ve used almost every day for over a year, which was my hope to find something easy and convenient to use to start a consistent journaling habit. I wasn’t able to stay as consistent before with a physical journal or other software options. This has just been so easy to do every morning regardless of where I am. 

Journaling has greatly improved my life, helping me refocus each day. I started with some of their basic templates and then edited them a bit over time. Now, I just load up the templates in the mornings and start my day right. Thank you to the developers for creating this, it has been a huge help.",Troysapher,2025-08-13T06:33:25-07:00,0,0,2025.16,,1755092005
iOS App Store,13006446896,3,It’s a little obtuse…,"I can ramble on for what seems like forever… but when I get to the meat of the matter, the dictation stops, there’s no doing it other audible indicator that my chatter dice has run out, then if I do anything, it’s unclear if anything I’ve recorded yet, with or without an attachment is findable or stored anywhere in my device,

That said, I sure hire you can create as many journals as you can imagine stream of consciousness discussing topics. If you can remember you have a journal for your district, and where to go reread and subsequently edit for a proper first draft of what could become your book… it’s a great start definitely. For my purposes I might have to stick with the much more limited, but secure (Apple) ‘Journal’. Out perhaps consider ‘“Life Cycle’l as more than simply a mood journal and teach it to become also a daily musings database.",Schelry,2025-08-12T04:10:43-07:00,0,0,2025.16,,1754997043
iOS App Store,12967351824,5,Life enriching,"I have made a practice to keep a Christian gratitude journal and this has been the PERFECT tool! It has turned into so much more. I gave up social media years ago, but missed the “memories” and photos that would pop up over the years…this app does the same thing! I LOVE remembering this day a year ago etc. and then there’s the printable book!! I print my journal each year and the quality is amazing…and it’s not expensive! I recommend this to all my friends and love it…I only wish the color of the text could be changed…but I’m sure that’s an update up and coming!",Msmurfie,2025-08-02T07:55:27-07:00,0,0,2025.15.1,,1754146527
iOS App Store,12957279118,5,My go to journal since the very beginning,"I’ve tried so many different journal programs but I have been a user of Day One for 14 years now. In the last year, I decided to get really serious about writing in my journal everyday. I’m proud to say that I crossed 365 entries a few weeks ago and in a week I will cross a year without missing a day. Day One is easy to use and allows me to keep multiple diaries for different purposes. That alone is worth the price of admission. I absolutely love this app and can’t recommend it highly enough. I’d give it ten stars if I cold.",ladyfractal,2025-07-30T20:50:13-07:00,0,0,2025.15.1,,1753933813
