platform,review_id,rating,title,review_text,author,date,helpful_count,vote_count,version,country,timestamp
iOS App Store,13092031222,4,Journalist of 2025,"For me, as someone who loves writing, this app is really cool! At 15 i’m writing a book and sometimes do short story competitions, but just having a topic and writing a paragraph about is just so fun. I love going back to journal entries I did years ago and reading about what I was  struggling about then. It’s so cool, for me anyway, because the things and the people I was deeply struggling with I don’t anymore. That’s just so encouraging for me to see how God has really worked in my life. One verse I write a lot about is Jeremiah 29:11 “For I know the plans I have for you,” declares the Lord, “plans to prosper you, not to harm you. Plans to give you a hope and a future.” I would usually write this verse after I wrote about what I was struggling with, and going back and rereading it and just seeing how God does have plans for me and they are for my good. Even if life feels hard is really encouraging. Something I came up with while writing is, “A fire will burn and destroy, yes. But the growth and new life that comes after is a fresh start to what once was.” God can do this as well. It’s through our pain and suffering, like a fire, that can start to break and weaken us, but it’s the through that that we learn and grow. Nothing bad happens for no reason. God always has a plan, for the lost or for the found. He always cares. My God is a loving God. And he has done, and will continue to do, great things for us. Because he loves us.",123 😊,2025-09-02T17:20:58-07:00,0,0,1.3,,1756858858
iOS App Store,13067899973,5,LISTENNN MY SHYTTT,"This is a very good app! If you don’t have it, you should definitely get it! If you are just worried about not being able to journal, or not journalling enough, or forgetting to bring your journal, and this is a great app for you! It’s very convenient it gives you suggestions, they can send you reminders, you can use your photos. It’s absolutely wonderful and great and useful. I love it so much and I’ve written so much on vacations and just in general, then I ever think I ever would have with a regular journal. If you love a journal or want to be a journal girly, definitely get this app!😋🙂‍↕️📝",UrSailingBaddieBoo💅,2025-08-27T13:19:46-07:00,0,0,1.3,,1756325986
iOS App Store,13061222239,5,Journey,pretty good I hope get more update though but it really fun I hope get into journey more and hope color to background so you can do different diff the pages but I going do note my story and all kinds suff on there I wish you would put like stickers or like or you can search in stickers and add it and like add bullets or like journaling like templates to it or just more journaling to the pages or make it like a journal book or something and like temome,Al emoji,2025-08-25T20:16:19-07:00,0,0,1.3,,1756178179
iOS App Store,13048239734,5,Ease of use,Journaling app is an easy to use app as I could quickly make a journal entry without so much effort. I used the dictation feature which works 96% at a time with very little need to correct spelling. I’m getting into the habit of using this journaling app with the hopes of recording my lifetime experiences so I could relive them when my mind isn’t so good. I told my son he could read these back to me When I’m 85 lol,K Rizz,2025-08-22T12:10:42-07:00,0,0,1.3,,1755889842
iOS App Store,13029250439,4,Great Journal,"I love the journal app, it’s not perfect but it is pretty darn good. I love how much stuff it keeps track of, how many metrics and stats you can look at. I wish it was available across all iOS devices, it would be cool if there was a way to hand write journals on the iPad with the pencil/pro (that too me seems like such a home run) also some of the days events don’t show up till the next day, sometimes I’d like to write about those events the day of. But otherwise this app is fantastic, such a great way to convey your thoughts and feelings without conveying anything publicly. Love that it uses Face ID to lock the app.",Lloydcen,2025-08-17T17:19:28-07:00,0,0,1.3,,1755476368
iOS App Store,13026736553,5,"Love, love love","I love the app. The suggestions and the pictures all super helpful. I wish that I could put the journals in folders. I wish I could move them around. I like to organize my things and currently it list everything as it was written. I was wish that just the title would show on the home page, not excerpts of the journal. This is me just being extra, but I really love the app. It’s nice to have to put my thoughts.",JSpoone,2025-08-17T03:34:11-07:00,0,0,1.3,,1755426851
iOS App Store,13023110551,3,So convenient but would like to seamlessly work between iPhone and laptop,"Such a great and easy way to journal. I wish I could use it on my phone (for spontaneity & ease) while also accessing it on my MacBook Air to add photos and make a book out of it. Adding photos would help me easily remember and visualize events. Looking for one seamless experience that’s easy. Having to move all of this to my airbook is cumbersome and time consuming. Apple is supposed to provide amazing, innovative experiences, so please get on this for journalers. Props to spontaneously writing and making notes though. 

If this “journal” is just for spontaneous notes and”mindfulness,” perhaps you could build another more robust option that works across platforms just like notes and calendar for more journalers who want to do more than be mindful. 

Thanks for your continued commitment to making life easy and your superior products.",Eva Evanson,2025-08-16T05:45:46-07:00,0,0,1.3,,1755348346
iOS App Store,13017368602,5,Genuinely satisfied,"I recently discovered this pre-downloaded app, and it’s been so nice to document my thoughts. I usually hate the streak feature in apps, but it keeps me accountable for my days, and I’m thankful to record my thoughts daily— it’s fun getting to see how my mind works day to day. I am also obsessed with the fact that there is a recording feature; there are lots of days where I despise the thought of typing, so it helps loads to keep the streak (ugh I know) and, more importantly, keep me accountable and consistent. 

TLDR: overall, all features make it really easy to be consistent, productive, and real. Give it a shot!",J U J U B,2025-08-14T19:37:33-07:00,0,0,1.3,,1755225453
iOS App Store,13009893622,5,iLiK3 iT! /\LOT,"The dictation algorithm or whatever type of developer words and supposed to use is getting a lot better at understanding me, I was just born with the hearing conditions so I don't hear the consonant sounds of the letters ""r"" & ""s"" and I have like 30% hearing loss and the frequency of women speak with (lol) then when I went to hooked on phonics , the information I became aware of later says that people who learned how to talk that way don't know how to spell words,",ninjaturtlepower,2025-08-13T01:33:15-07:00,0,0,1.3,,1755073995
iOS App Store,12998270036,5,Bye Bye Pen and Paper,"I have journaled for years, and physically writing stuff was not as easy as typing my thoughts, and simply backspacing when I mess up.  My phone journal also keeps me from buying and storing notebooks, and allows me to easily locate a story I feel like reminiscing about.  I also don’t have to worry about pulling out paper and pen, and instead, can write about anything, anywhere.  Most importantly, I can actually read what I wrote.  The phone journal was a great idea!",achozen1,2025-08-10T02:32:09-07:00,2,2,1.3,,1754818329
