platform,review_id,rating,title,review_text,author,date,helpful_count,vote_count,version,country,timestamp
iOS App Store,13097754751,5,LOVE,"A dedicated space for journaling just hits different, somehow. I have journals I can write in, and I use them from time to time. But I am more consistent with this. I think it’s because I open my computer to deal with work, and open this app instead. And voila - I feel 1000 times better instantly!",PixyThill,2025-09-04T06:13:05-07:00,0,0,5.5.9,,1756991585
iOS App Store,13059789168,1,"Features promised, not delivered",I like the idea of this app - text and voice journalling and ability to share to followers. But the reality of using the app is very clunky. I just can’t figure out how to use the features. It does not work as promised. Zero tech support or customer service. Sat with an open chat box waiting for customer service but no one showed up. Save your money.,morganmusic33,2025-08-25T10:52:21-07:00,0,0,5.5.9,,1756144341
iOS App Store,13051143860,5,Great tool to make the most of life!,"Journal is a great way for me to reflect and stay connected to what’s going on in my own heart and mind each day. Journey is my ongoing conversation with Jesus sharing my thoughts, feelings, frustrations and joy. I am so thankful for this tool to help remind me of the journey I am on with Jesus and all that He is doing in my life, especially when I am discouraged.",Dno-Home-PC,2025-08-23T07:07:47-07:00,0,0,5.5.9,,1755958067
iOS App Store,13023665506,2,Disappointed,"The Journey app, in general, seems like a great app for teens.  The design and number of creative options is definitely something that I think will make teens more apt to use it.

I was really excited about this app.  The reviews online stated there are 2 account options; a paid version, including all of the bells & whistles, and a ‘free’ version, which obviously includes some of the “fun” features but not all (which makes sense & I have no issue with).

I downloaded the app to see if my nieces would like it. INSERT DISAPPOINTMENT HERE!

The only “free version” I was able to find/see was the “free 3-day trial”.  THREE DAYS!!!! I admit, it’s better than nothing; it’s not a fair amount of time to really try the app out.",Jessa614,2025-08-16T08:21:25-07:00,0,0,5.5.9,,1755357685
iOS App Store,12806978075,5,I’ve been using Journey for years,"I’ve been using Journey since 2016 I believe. It has evolved to providing prompts and such. It’s a means for me to jot thoughts down quickly, especially if writing isn’t feasible. I actually wrote a book using Journey. Great tool to use.",TaxChickVa,2025-06-23T01:04:27-07:00,0,0,5.5.9,,1750665867
iOS App Store,12804388593,5,❤️Best app EVER❤️,"Ok so basically I never thought there was an app you could do this but I finally found this one, you can add images and it takes the location, day AND EVEN THE TIME and puts it with the image and you can scroll through one long list of images u added, (you can see images other preferable ways too!) and also, you can add a password to get in which u can choose to set when u download, it keeps ur images safe and doesn’t share them without permission, and it’s overall the best app! Recommend download!! Now one last thing is you can only add four images at once which maybe you guys can add a bit more space? If so thanks!",304-965-4298 call me lol,2025-06-22T07:51:51-07:00,0,0,5.5.9,,1750603911
iOS App Store,12797160471,5,Review of journal,"I greatly appreciate the security and mobility of Journey Journal. I don’t have to worry about paper journals being read by someone else, I can write journal entries on my phone, and pin a photo or four on my day! It syncs across all devices and I like it a lot!",Daniel Finlayson,2025-06-20T09:57:31-07:00,0,0,5.5.9,,1750438651
iOS App Store,12773812256,4,RecognitionS and requests,"I really like this app or what it offers. It offers a space for me to jot down my notes per day and tag pictures that I take that same significant to that day.

I would also like to add the ability to pin notes to the top, I know you guys provide writing prompts, but I’d like to have writing prompts cater to me given to me by my therapist that I can reference to whenever I need to do some deep in your healing",Unique Giantee,2025-06-14T08:37:06-07:00,1,1,5.5.9,,1749915426
iOS App Store,12697748577,5,great interface,really enjoy using it,DrunkInParis2016,2025-05-25T12:51:42-07:00,0,0,5.5.9,,1748202702
iOS App Store,12644905495,5,Excellent Journal Program,"I have enjoyed this program better than some of the others I have used. It’s fast, easy to navigate and has a good layout. Always my concern is backing up my entries but this seems to handle it nicely. I use it weekly, on Sunday mornings to record the week that just passed.",Dpipher,2025-05-11T08:55:45-07:00,0,0,5.5.7,,1746978945
iOS App Store,12590726471,5,Best Journal App Ever 💕,"I’ve been using this app for years now, the reason I chose it after lots of research was because of its cross-platform abilities that work so smoothly, I can jump from my iPhone to my PC desktop to my tablet and have it all sync, the fact I can journal without connection and it’ll sync when I’m connected again, I can add pictures, the UI is simple, elegant and really pleasant, it’s so easy to scroll through the time line and search, and there is a way for me to export my entries, and I can write with my Apple Pencil and have it convert the words as I go, it’s exactly what I’ve wanted and I haven’t used another app to journal with since I got it, I honestly wouldn’t change a thing😊💕",KetsiaElla,2025-04-26T21:46:34-07:00,0,0,5.5.7,,1745729194
